"ds","y"
"2017-01-01",1.4593
"2017-01-02",1.4630
"2017-01-03",1.4656
"2017-01-04",1.4668
"2017-01-05",1.4670
"2017-01-06",1.4668
"2017-01-07",1.4637
"2017-01-08",1.4638
"2017-01-09",1.4677
"2017-01-10",1.4707
"2017-01-11",1.4721
"2017-01-12",1.4728
"2017-01-13",1.4728
"2017-01-14",1.4694
"2017-01-15",1.4694
"2017-01-16",1.4833
"2017-01-17",1.4884
"2017-01-18",1.4976
"2017-01-19",1.4976
"2017-01-20",1.4973
"2017-01-21",1.4942
"2017-01-22",1.4944
"2017-01-23",1.4981
"2017-01-24",1.4984
"2017-01-25",1.5099
"2017-01-26",1.4948
"2017-01-27",1.5027
"2017-01-28",1.4995
"2017-01-29",1.4996
"2017-01-30",1.4904
"2017-01-31",1.4905
"2017-02-01",1.4908
"2017-02-02",1.4909
"2017-02-03",1.4898
"2017-02-04",1.4872
"2017-02-05",1.4872
"2017-02-06",1.4933
"2017-02-07",1.4961
"2017-02-08",1.4951
"2017-02-09",1.4953
"2017-02-10",1.4941
"2017-02-11",1.4907
"2017-02-12",1.4908
"2017-02-13",1.4945
"2017-02-14",1.4961
"2017-02-15",1.4959
"2017-02-16",1.4976
"2017-02-17",1.4975
"2017-02-18",1.4941
"2017-02-19",1.4940
"2017-02-20",1.4976
"2017-02-21",1.5006
"2017-02-22",1.5004
"2017-02-23",1.5002
"2017-02-24",1.4986
"2017-02-25",1.4953
"2017-02-26",1.4955
"2017-02-27",1.4983
"2017-02-28",1.4979
"2017-03-01",1.4973
"2017-03-02",1.4990
"2017-03-03",1.4987
"2017-03-04",1.4951
"2017-03-05",1.4951
"2017-03-06",1.4923
"2017-03-07",1.4870
"2017-03-08",1.4864
"2017-03-09",1.4864
"2017-03-10",1.4860
"2017-03-11",1.4826
"2017-03-12",1.4826
"2017-03-13",1.4823
"2017-03-14",1.4722
"2017-03-15",1.4706
"2017-03-16",1.4696
"2017-03-17",1.4693
"2017-03-18",1.4658
"2017-03-19",1.4655
"2017-03-20",1.4598
"2017-03-21",1.4533
"2017-03-22",1.4477
"2017-03-23",1.4478
"2017-03-24",1.4473
"2017-03-25",1.4439
"2017-03-26",1.4440
"2017-03-27",1.4482
"2017-03-28",1.4514
"2017-03-29",1.4513
"2017-03-30",1.4514
"2017-03-31",1.4512
"2017-04-01",1.4479
"2017-04-02",1.4483
"2017-04-03",1.4614
"2017-04-04",1.4669
"2017-04-05",1.4673
"2017-04-06",1.4660
"2017-04-07",1.4659
"2017-04-08",1.4626
"2017-04-09",1.4630
"2017-04-10",1.4789
"2017-04-11",1.4840
"2017-04-12",1.4845
"2017-04-13",1.4848
"2017-04-14",1.4852
"2017-04-15",1.4810
"2017-04-16",1.4811
"2017-04-17",1.4912
"2017-04-18",1.4959
"2017-04-19",1.4960
"2017-04-20",1.4965
"2017-04-21",1.4964
"2017-04-22",1.4920
"2017-04-23",1.4919
"2017-04-24",1.4892
"2017-04-25",1.4854
"2017-04-26",1.4836
"2017-04-27",1.4820
"2017-04-28",1.4820
"2017-04-29",1.4776
"2017-04-30",1.4776
"2017-05-01",1.4714
"2017-05-02",1.4637
"2017-05-03",1.4595
"2017-05-04",1.4584
"2017-05-05",1.4581
"2017-05-06",1.4538
"2017-05-07",1.4537
"2017-05-08",1.4459
"2017-05-09",1.4377
"2017-05-10",1.4347
"2017-05-11",1.4346
"2017-05-12",1.4339
"2017-05-13",1.4294
"2017-05-14",1.4296
"2017-05-15",1.4357
"2017-05-16",1.4425
"2017-05-17",1.4425
"2017-05-18",1.4426
"2017-05-19",1.4424
"2017-05-20",1.4382
"2017-05-21",1.4384
"2017-05-22",1.4492
"2017-05-23",1.4529
"2017-05-24",1.4530
"2017-05-25",1.4532
"2017-05-26",1.4534
"2017-05-27",1.4494
"2017-05-28",1.4494
"2017-05-29",1.4542
"2017-05-30",1.4545
"2017-05-31",1.4544
"2017-06-01",1.4542
"2017-06-02",1.4538
"2017-06-03",1.4498
"2017-06-04",1.4499
"2017-06-05",1.4528
"2017-06-06",1.4468
"2017-06-07",1.4461
"2017-06-08",1.4460
"2017-06-09",1.4456
"2017-06-10",1.4415
"2017-06-11",1.4415
"2017-06-12",1.4372
"2017-06-13",1.4363
"2017-06-14",1.4357
"2017-06-15",1.4356
"2017-06-16",1.4341
"2017-06-17",1.4299
"2017-06-18",1.4297
"2017-06-19",1.4275
"2017-06-20",1.4223
"2017-06-21",1.4218
"2017-06-22",1.4218
"2017-06-23",1.4214
"2017-06-24",1.4173
"2017-06-25",1.4173
"2017-06-26",1.4196
"2017-06-27",1.4151
"2017-06-28",1.4145
"2017-06-29",1.4144
"2017-06-30",1.4135
"2017-07-01",1.4093
"2017-07-02",1.4094
"2017-07-03",1.4136
"2017-07-04",1.4140
"2017-07-05",1.4134
"2017-07-06",1.4135
"2017-07-07",1.4132
"2017-07-08",1.4086
"2017-07-09",1.4090
"2017-07-10",1.4201
"2017-07-11",1.4218
"2017-07-12",1.4217
"2017-07-13",1.4218
"2017-07-14",1.4214
"2017-07-15",1.4172
"2017-07-16",1.4174
"2017-07-17",1.4209
"2017-07-18",1.4201
"2017-07-19",1.4198
"2017-07-20",1.4199
"2017-07-21",1.4195
"2017-07-22",1.4155
"2017-07-23",1.4158
"2017-07-24",1.4248
"2017-07-25",1.4243
"2017-07-26",1.4239
"2017-07-27",1.4240
"2017-07-28",1.4237
"2017-07-29",1.4196
"2017-07-30",1.4197
"2017-07-31",1.4240
"2017-08-01",1.4256
"2017-08-02",1.4255
"2017-08-03",1.4257
"2017-08-04",1.4254
"2017-08-05",1.4204
"2017-08-06",1.4206
"2017-08-07",1.4321
"2017-08-08",1.4370
"2017-08-09",1.4367
"2017-08-10",1.4369
"2017-08-11",1.4369
"2017-08-12",1.4328
"2017-08-13",1.4329
"2017-08-14",1.4375
"2017-08-15",1.4377
"2017-08-16",1.4375
"2017-08-17",1.4376
"2017-08-18",1.4374
"2017-08-19",1.4359
"2017-08-20",1.4362
"2017-08-21",1.4364
"2017-08-22",1.4334
"2017-08-23",1.4332
"2017-08-24",1.4332
"2017-08-25",1.4312
"2017-08-26",1.4298
"2017-08-27",1.4300
"2017-08-28",1.4347
"2017-08-29",1.4366
"2017-08-30",1.4363
"2017-08-31",1.4364
"2017-09-01",1.4363
"2017-09-02",1.4330
"2017-09-03",1.4339
"2017-09-04",1.4576
"2017-09-05",1.4638
"2017-09-06",1.4646
"2017-09-07",1.4651
"2017-09-08",1.4606
"2017-09-09",1.4629
"2017-09-10",1.4632
"2017-09-11",1.4705
"2017-09-12",1.4669
"2017-09-13",1.4669
"2017-09-14",1.4670
"2017-09-15",1.4668
"2017-09-16",1.4625
"2017-09-17",1.4623
"2017-09-18",1.4615
"2017-09-19",1.4635
"2017-09-20",1.4630
"2017-09-21",1.4632
"2017-09-22",1.4627
"2017-09-23",1.4586
"2017-09-24",1.4586
"2017-09-25",1.4579
"2017-09-26",1.4545
"2017-09-27",1.4534
"2017-09-28",1.4535
"2017-09-29",1.4532
"2017-09-30",1.4492
"2017-10-01",1.4494
"2017-10-02",1.4520
"2017-10-03",1.4520
"2017-10-04",1.4516
"2017-10-05",1.4517
"2017-10-06",1.4514
"2017-10-07",1.4474
"2017-10-08",1.4474
"2017-10-09",1.4457
"2017-10-10",1.4456
"2017-10-11",1.4454
"2017-10-12",1.4454
"2017-10-13",1.4450
"2017-10-14",1.4408
"2017-10-15",1.4407
"2017-10-16",1.4464
"2017-10-17",1.4476
"2017-10-18",1.4462
"2017-10-19",1.4462
"2017-10-20",1.4457
"2017-10-21",1.4417
"2017-10-22",1.4417
"2017-10-23",1.4472
"2017-10-24",1.4471
"2017-10-25",1.4476
"2017-10-26",1.4475
"2017-10-27",1.4471
"2017-10-28",1.4429
"2017-10-29",1.4431
"2017-10-30",1.4553
"2017-10-31",1.4592
"2017-11-01",1.4594
"2017-11-02",1.4597
"2017-11-03",1.4596
